issue,doc_id,bank_txn_id,doc_amount,bank_amount,currency,detail
DOC_WITHOUT_BANK,INV-0000174,,329.91,,AED,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,INV-0000181,BTX-00000201,31.44,34.43,USD,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,INV-0000196,BTX-00000212,94.05,98.06,EUR,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000004,,69.58,,USD,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000009,,215.07,,GBP,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000012,,320.23,,USD,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000019,BTX-00000229,189.82,217.39,EUR,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000031,,260.47,,GBP,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000032,,45.16,,USD,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000033,,115.25,,GBP,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000036,,37.71,,GBP,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000045,,176.95,,USD,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000050,,204.85,,GBP,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000052,BTX-00000252,258.26,249.77,AED,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,RCT-0000053,BTX-00000253,209.96,223.04,USD,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000055,,38.24,,GBP,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000059,BTX-00000257,124.78,126.08,USD,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,RCT-0000062,BTX-00000260,22.81,23.72,EUR,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000064,,149.33,,AED,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000069,BTX-00000266,173.72,194.94,GBP,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,RCT-0000075,BTX-00000272,189.37,176.52,AED,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000084,,266.36,,USD,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000090,,89.77,,AED,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000106,BTX-00000298,164.17,162.72,EUR,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,RCT-0000112,BTX-00000304,113.03,117.35,GBP,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
POTENTIAL_MISMATCH,RCT-0000120,BTX-00000309,142.63,151.59,USD,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000123,,276.07,,GBP,Document not found in bank statement (likely unpaid or missing).
POTENTIAL_MISMATCH,RCT-0000129,BTX-00000317,151.58,147.78,USD,Mismatched or complex mapping (partial_or_mismatch). Requires manual review.
DOC_WITHOUT_BANK,RCT-0000131,,95.8,,EUR,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000143,,55.08,,AED,Document not found in bank statement (likely unpaid or missing).
DOC_WITHOUT_BANK,RCT-0000149,,119.99,,AED,Document not found in bank statement (likely unpaid or missing).
BANK_WITHOUT_DOC,,BTX-00000336,,2.9,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000337,,3.79,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000338,,9.9,USD,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000339,,6.13,EUR,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000340,,0.79,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000341,,0.89,GBP,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000342,,4.03,USD,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000343,,11.68,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000344,,0.47,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000345,,4.48,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000346,,4.37,USD,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000347,,29.62,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000348,,5.03,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000349,,10.84,GBP,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000350,,8.51,AED,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000351,,0.88,EUR,Bank transaction has no matching invoice/receipt.
BANK_WITHOUT_DOC,,BTX-00000352,,15.93,AED,Bank transaction has no matching invoice/receipt.
